                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
                               instant            None     100,000   1,208   1,292   24,674     2,084    343,102,625  2,164,827  0.999985
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   23,566     1,666    376,079,919  2,402,221       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   26,617     5,709    398,576,500  2,497,341  0.999999
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,416   25,039     5,709    345,009,084  2,390,610  1.000000
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,375   26,372     5,709    445,580,916  2,584,694  0.999999
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,417   25,376     5,750    394,597,625  2,367,781  1.000000
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   28,385     5,708    447,196,232  2,509,257       ---
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,416   26,847     5,708    344,213,375  2,283,053  1.000000
                               instant            None     100,000   1,208   1,292   29,729     2,459    431,214,750  2,645,370  0.999903
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   29,277     1,667    360,506,333  2,566,643  0.999999
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   29,398     5,000    340,924,000  2,493,338  1.000002
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   29,383     5,709    321,120,250  2,393,581  0.999999
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   29,611     1,667    395,262,958  2,572,486  1.000000
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   28,992     5,000    364,518,000  2,496,985  0.999956
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   30,389     5,000    346,994,000  2,548,304  1.000012
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   29,793     1,667    453,435,333  2,606,473  0.999999
                               instant            None     100,000   1,208   1,292   30,583     1,917    337,845,333  2,638,064  0.999988
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   30,236     5,708    353,986,083  2,616,898       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   30,539     5,750    279,069,167  2,299,828  0.999999
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,416   30,120     5,750    414,602,417  2,649,854  0.999999
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,334   28,689     1,667    424,253,542  2,622,464  0.999999
                               instant            None     100,000   1,208   1,292   31,309     5,750    449,475,208  2,689,093  0.999991
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   31,148     6,000    349,762,000  2,593,838  1.000023
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   30,697     5,708    342,157,484  2,518,698       ---
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   30,773     1,666    330,184,324  2,532,742       ---
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   29,598     2,000    357,851,000  2,551,380  1.000007
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   31,016     5,708    349,786,417  2,570,080  0.999999
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,333   31,080     1,666    354,002,046  2,610,406       ---
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   31,139     5,708    313,621,216  2,462,377       ---
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   30,841     1,667    356,250,708  2,450,894  1.000000
                    libc_gettime_clock  THREAD_CPUTIME     100,000   1,291   1,708    1,826     5,916         32,042        998  0.001474
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   29,753     6,000    364,082,000  2,643,484  1.000001
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,416   30,982     1,667    312,133,875  2,508,378  0.999999
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   29,458     5,708    348,891,784  2,551,013       ---
                               instant            None     100,000   1,208   1,292   32,070     5,709    372,767,667  2,491,493  0.999988
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   31,213     5,708    327,648,636  2,647,716       ---
                               instant            None     100,000   1,208   1,375   32,126     5,708    397,704,375  2,867,814  0.999993
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   31,427     5,750    338,942,041  2,514,356  0.999999
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   31,391     5,708    380,639,011  2,586,152       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   31,757     1,667    377,090,292  2,616,332  1.000000
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,375   31,060     1,667    383,143,208  2,603,745  0.999999
                               instant            None     100,000   1,208   1,292   29,545     5,750    462,211,542  2,760,155  0.999985
                               instant            None     100,000   1,208   1,292   31,142     2,084    377,858,125  2,725,938  0.999971
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   31,207     1,667    343,750,625  2,636,869  0.999999
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   30,452     6,000    455,008,000  2,618,340  1.000003
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,417   31,155     1,875    399,545,959  2,807,068  0.999937
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   31,463     1,667    396,970,291  2,666,145  1.000000
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   31,944     5,750    393,565,292  2,815,486  0.999999
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,416   31,540     5,750    307,117,584  2,460,772  1.000000
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   31,398     5,708    367,553,916  2,562,654  1.000000
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,416   27,843     5,750    453,207,334  2,456,699  1.000000
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   31,527     5,750    381,470,208  2,606,724  0.999999
                               instant            None     100,000   1,208   1,292   29,611     1,958    354,261,416  2,521,700  0.999991
                               instant            None     100,000   1,208   1,333   32,800     5,750    338,902,833  2,659,035  0.999982
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   30,722     6,000    313,354,000  2,417,367  1.000003
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   31,660     5,708    329,263,375  2,526,388  1.000000
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   32,295     5,750    332,015,792  2,594,161  0.999997
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   31,998     5,708    328,577,757  2,549,060       ---
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,104     1,666    312,424,315  2,521,131       ---
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   32,664     5,000    337,246,000  2,611,996  0.999977
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   31,863     1,667    360,756,500  2,561,477  0.999999
                               instant            None     100,000   1,208   1,292   33,029     5,708    386,313,167  2,811,415  0.999991
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   32,740     2,000    324,906,000  2,612,199  0.999978
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   30,944     5,000    321,317,000  2,579,276  1.000006
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,298     5,708    353,982,534  2,706,718       ---
                               instant            None     100,000   1,208   1,292   33,139     5,708    339,020,208  2,585,191  0.999987
                               instant            None     100,000   1,208   1,334   33,272     5,750    396,259,833  2,861,675  0.999918
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,375   32,009     5,750    317,491,916  2,510,185  0.999999
                               instant            None     100,000   1,208   1,292   33,283     5,750    395,143,625  2,786,741  0.999908
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   32,871     2,000    317,487,000  2,541,923  1.000024
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,417   33,038     5,708    333,585,958  2,713,948  0.999995
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   32,000     5,709    322,288,208  2,571,656  1.000000
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   32,896     6,000    326,538,000  2,537,155  0.999972
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,386     5,708    330,532,490  2,627,729       ---
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,470     5,708    357,773,478  2,560,259       ---
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW     100,000   1,208   1,417   33,152     2,417    366,803,208  2,722,152  0.999995
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   31,553     6,000    296,496,000  2,443,930  0.999998
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,416   32,799     1,667    317,268,125  2,593,278  0.999998
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   32,873     5,708    360,319,041  2,591,508  0.999999
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   33,090     6,000    362,051,000  2,653,487  1.000005
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,534     5,708    330,244,119  2,608,549       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   32,323     1,666    343,159,334  2,492,000  0.999999
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,375   32,239     1,667    350,674,000  2,633,180  0.999999
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   33,043     5,750    320,313,042  2,500,661  0.999999
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   31,485     6,000    419,774,000  2,577,986  1.000002
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   31,452     5,000    309,185,000  2,550,268  1.000000
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,375   33,051     1,667    338,177,041  2,606,189  0.999999
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,915     5,708    314,946,707  2,541,583       ---
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   33,225     6,000    353,712,000  2,846,890  0.999991
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   29,012     6,000    416,041,000  2,484,629  0.999996
                    libc_gettime_clock       MONOTONIC     100,000   1,000   1,000   33,235     6,000    381,248,000  2,637,533  0.999997
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   31,640     5,000    342,882,000  2,528,314  1.000001
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,333   31,519     1,666    361,664,648  2,619,305       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW     100,000   1,208   1,416   32,413     5,708    345,986,416  2,587,822  1.000000
                    libc_gettime_clock   MONOTONIC_RAW     100,000   1,208   1,416   33,259     5,750    322,144,916  2,586,812  1.000000
  plat_apple::mach_absolute_time_ticks            None     100,000   1,208   1,375   32,951     5,708    344,016,018  2,580,275       ---
                               instant            None     100,000   1,208   1,292   33,770     5,750    373,894,500  2,710,577  0.999985
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   30,156     6,000    340,653,000  2,525,132  1.000005
     plat_apple::gettime_nsec_np_clock       MONOTONIC     100,000   1,000   1,000   31,813     6,000    357,099,000  2,551,991  1.000006
                    libc_gettime_clock  THREAD_CPUTIME     100,000   1,291   1,541    2,040     5,917         51,209      1,397  0.000658
                    libc_gettime_clock      UPTIME_RAW     100,000   1,208   1,416   32,180     5,750    357,951,833  2,495,595  1.000000
