                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,366     1,500         52,923        171       ---
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,167   1,375    1,376     1,500         91,792        150  0.999933
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,375    1,388     1,500         80,708        359  0.999901
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,388     2,000         78,000        554  0.999835
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,387     2,000        531,000        551  1.000032
                               instant            None  10,000,000   1,166   1,375    1,389     1,500        118,625        325  0.999869
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,419     1,667      1,574,083        541  0.999841
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,416    1,450     1,708         54,375        249  0.999967
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,459    1,462     1,583         63,625        227  0.014268
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,462     1,625         64,000        131  0.013443
