                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW   1,000,000   1,208   1,375    1,358     1,459         57,625        458  0.999967
                    libc_gettime_clock       MONOTONIC   1,000,000   1,000   1,000    1,353     2,000         36,000        491  0.999573
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW   1,000,000   1,208   1,375    1,363     1,459         44,417        248  0.999966
     plat_apple::gettime_nsec_np_clock       MONOTONIC   1,000,000   1,000   1,000    1,365     2,000      1,025,000      1,242  0.999705
                    libc_gettime_clock      UPTIME_RAW   1,000,000   1,167   1,334    1,369     1,459         32,375        111  0.999936
  plat_apple::mach_absolute_time_ticks            None   1,000,000   1,166   1,375    1,378     1,458         78,596        153       ---
                               instant            None   1,000,000   1,208   1,334    1,375     1,459         35,125        143  0.999902
                    libc_gettime_clock   MONOTONIC_RAW   1,000,000   1,166   1,458    1,486     1,709      1,052,334      1,074  0.999934
                    libc_gettime_clock  THREAD_CPUTIME   1,000,000   1,291   1,417    1,470     1,584         46,667        189  0.007765
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME   1,000,000   1,250   1,458    1,480     1,584         46,875        234  0.015646
