                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,390     1,500      1,584,808        637       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,375    1,392     1,500         58,833        299  0.999967
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,393     1,500         47,208        127  0.999966
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,396     2,000         58,000        519  1.000170
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,397     2,000      1,645,000        778  0.999774
                               instant            None  10,000,000   1,208   1,417    1,409     1,500      2,030,875        688  0.999934
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,431     1,708         64,334        291  0.999967
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,417    1,477     1,709        151,958        475  0.999933
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,474     1,584         76,250        274  0.003260
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,469     1,625         66,667        176  0.016118
