                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,393     1,542         65,792        230  0.999933
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,399     1,500         62,470        164       ---
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,395     2,000        181,000        612  0.999840
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,401     2,000        318,000        520  1.000260
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,410     1,500         64,084        221  0.999967
                               instant            None  10,000,000   1,166   1,417    1,423     1,666      1,990,667        668  0.999870
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,166   1,417    1,442     1,708        298,834        322  0.999967
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,467     1,709         57,250        288  0.999968
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,470     1,584         63,250        269  0.007082
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,519     1,792         62,792        341  0.008289
