                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,416    1,480     1,709         76,625        763  0.999967
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,518     1,541        120,503      1,492       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,416    1,531     1,542         47,792      1,443  0.999935
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,594     1,625         61,875      1,765  0.999935
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,614     2,000        559,000      1,968  0.999476
                               instant            None  10,000,000   1,208   1,375    1,622     1,500         61,500      1,782  0.999869
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,291   1,459    1,543     1,750         76,417        971  0.019602
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,808     2,000         74,000      2,571  0.999802
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,417    1,736     1,625        183,250      2,102  0.008077
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,855     1,750        177,083      2,411  0.999936
