                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,336     1,417        312,416        162  0.999968
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,340     1,583        245,957        165       ---
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,337     2,000         60,000        480  0.999326
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,350     1,583        237,375        172  1.000000
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,344     2,000      2,172,000        841  0.999546
                               instant            None  10,000,000   1,166   1,375    1,357     1,417      1,987,459        656  0.999903
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,398     1,625        543,875        259  0.999874
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,431     1,625         57,958        183  0.999966
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,375    1,432     1,542         63,584        130  0.013817
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,375    1,439     1,542         64,917        323  0.007686
