                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,420     2,000         59,000        783  0.999833
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,460     2,000         72,000        974  1.000262
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,185   1,397    1,647     1,566        196,006      1,898       ---
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,417    1,629     1,750        316,709      1,717  0.999868
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,416    1,667     1,542      2,003,417      2,079  0.999967
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,669     1,625        301,166      2,109  0.999968
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,732     1,750        200,334      2,249  0.999937
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,291   1,500    1,691     1,625         62,042      1,615  0.007907
                               instant            None  10,000,000   1,166   1,375    1,820     1,667        149,500      2,361  0.999870
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,459    1,757     1,792         83,834      1,940  0.008063
