                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,376     1,459         71,542        319  0.999936
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,167   1,375    1,381     1,500      1,359,112        484       ---
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,397     2,000        362,000        559  0.999442
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,405     1,542         69,500        168  0.999904
                               instant            None  10,000,000   1,166   1,416    1,397     1,500        770,166        364  0.999935
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,400     2,000        934,000        660  0.999901
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,166   1,416    1,436     1,708        407,166        378  0.999935
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,478     1,709         81,083        291  0.999933
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,476     1,625        102,125        323  0.014575
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,509     1,750         61,542        162  0.006551
