                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,416    1,408     1,500      1,012,584        492  0.999934
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,416    1,418     1,541         48,379        152       ---
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,421     2,000         65,000        606  0.999934
                               instant            None  10,000,000   1,208   1,417    1,421     1,542         74,958        248  0.999935
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,426     2,000      1,362,000        713  0.999348
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,458    1,449     1,708         85,791        311  0.999966
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,458    1,465     1,750         62,375        296  0.999967
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,166   1,458    1,469     1,750         56,542        231  0.999934
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,459    1,490     1,625         62,250        231  0.008129
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,504     1,625         60,750        178  0.022186
