                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None   1,000,000   1,166   1,375    1,351     1,458      1,545,997      1,580       ---
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW   1,000,000   1,167   1,375    1,351     1,458         57,167        368  1.000000
                    libc_gettime_clock       MONOTONIC   1,000,000   1,000   1,000    1,375     2,000         30,000        489  0.999968
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW   1,000,000   1,167   1,416    1,393     1,625         40,584        183  0.999966
                               instant            None   1,000,000   1,166   1,416    1,402     1,667         31,667        142  0.999902
     plat_apple::gettime_nsec_np_clock       MONOTONIC   1,000,000   1,000   1,000    1,421     2,000         39,000        503  0.999836
                    libc_gettime_clock      UPTIME_RAW   1,000,000   1,166   1,375    1,432     1,667         40,583        189  0.999934
                    libc_gettime_clock   MONOTONIC_RAW   1,000,000   1,166   1,417    1,477     1,708      1,541,500      1,558  0.999935
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME   1,000,000   1,291   1,500    1,488     1,708         43,375        272  0.022932
                    libc_gettime_clock  THREAD_CPUTIME   1,000,000   1,250   1,500    1,489     1,750         62,875        324  0.007767
