                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,334     1,417        189,542        167  0.999968
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,338     1,417      2,080,375        677  0.999900
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,350     1,625         89,175        206       ---
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,346     2,000      2,041,000        837  1.000127
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,357     2,000         67,000        487  0.999088
                               instant            None  10,000,000   1,166   1,375    1,358     1,458         48,000        127  0.999902
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,376     1,625        107,209        186  0.999968
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,416    1,435     1,625      2,021,958        669  0.999933
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,436     1,583         71,583        135  0.006096
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,417    1,444     1,542         47,875        125  0.020069
