                                fnname          clock     nsamples     min  perc50        mean  perc95            max      stddev        drift
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,540   9,640       9,755   9,880        166,410       3,045     0.000944
                   plat_x86_64::rdtscp           None      100,000   7,799   8,849     104,027   9,059    103,026,811   2,118,626          ---
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,550   9,610       9,788   9,970        170,620       3,141     0.001325
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,790   8,880     104,564   9,190    115,024,473   2,154,327     1.000002
                               instant           None      100,000   7,880   8,880     105,011   9,130    105,020,489   2,129,326     0.999966
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,800   8,870     105,093   9,120     83,020,641   2,065,912     1.000003
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,790   8,880     103,108   9,120    114,025,212   2,118,291     0.999990
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,810   8,890     105,033   9,180    135,032,600   2,223,913     1.000006
                    libc_gettime_clock      MONOTONIC      100,000   7,790   8,859     105,920   9,110    113,022,888   2,223,464     0.999921
                   plat_x86_64::rdtscp           None      100,000   7,779   8,849     105,276   9,069    106,067,346   2,173,768          ---
                   plat_x86_64::rdtscp           None      100,000   7,890   8,850     104,349   9,080     95,027,918   2,165,921          ---
                    libc_gettime_clock      MONOTONIC      100,000   7,779   8,880     106,571   9,140    126,018,366   2,104,481     0.999943
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,800   8,860     105,946   9,150    109,028,880   2,184,498     1.000002
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,550   9,640       9,734   9,890        166,770       2,331     0.000477
                    libc_gettime_clock      MONOTONIC      100,000   7,800   8,870     105,486   9,100     90,018,128   2,125,424     0.999992
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,560   9,630       9,693   9,860        167,750       1,422     0.009536
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,580   9,640       9,766   9,990        163,980       2,020     0.000154
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,560   9,630       9,680   9,870        146,850         862     0.000790
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,540   9,620       9,707   9,890        170,010       2,585     0.001093
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,550   9,630       9,702   9,870        167,270       1,872     0.009195
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,550   9,620       9,673   9,890        167,570         885     0.000545
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,800   9,630       9,670   9,900        165,580       1,136     0.000709
