                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,167   1,375    1,379     1,500      1,681,319        613       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,387     1,500      1,660,792        594  0.999968
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,388     1,500        573,084        275  0.999864
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,387     2,000        229,000        585  0.999804
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,392     2,000        543,000        557  1.000231
                               instant            None  10,000,000   1,166   1,375    1,395     1,500        270,500        264  0.999934
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,166   1,417    1,435     1,708        218,416        303  1.000000
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,479     1,750        401,375        344  1.000000
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,466     1,584         66,875        278  0.006393
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,471     1,625         63,541        190  0.015419
