                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
                               instant            None  10,000,000   1,208   1,375    1,469     1,458         68,958      1,445  0.999902
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,489     2,000         89,000      1,381  0.999256
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,375    1,502     1,625      3,582,750      1,897  0.999966
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,569     1,625        102,375      1,431  0.999904
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,580     1,416         61,005      1,809       ---
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,594     1,625        698,208      1,787  0.999934
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,589     2,000        173,000      1,869  1.000065
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,291   1,375    1,603     1,542         90,083      1,599  0.009079
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,737     1,417         99,708      2,603  0.999898
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,166   1,417    1,722     1,709         84,667      1,965  0.009667
