               fnname    nsamples    min perc50   mean perc95    max  stddev
               ------    --------    --- ------   ---- ------    ---  ------
              instant  10,000,000   1041   1167   1183   1416  81000     227
              cputime  10,000,000   1000   1000   1335   2000  53000     548
            monotonic  10,000,000   1000   1000   1178   2000  79000     436
        monotonic_raw  10,000,000   1041   1208   1181   1334  98125     352
   mach_absolute_time  10,000,000   1041   1208   1180   1333  75000     220
           uptime_raw  10,000,000   1041   1208   1198   1375  69709     235
   nsec_np_uptime_raw  10,000,000   1041   1208   1207   1417 164375     274
      nsec_np_cputime  10,000,000   1000   1000   1374   2000  31000     575
    nsec_np_monotonic  10,000,000   1000   1000   1229   2000  88000     567
nsec_np_monotonic_raw  10,000,000   1041   1208   1211   1375 160125     607
