                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,166   1,375    1,369     1,500        129,875        260  0.999968
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,375    1,378     1,500        342,158        320       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,166   1,375    1,378     1,625         78,875        277  0.999968
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,386     2,000      1,219,000        661  1.000065
                               instant            None  10,000,000   1,166   1,416    1,394     1,500      1,201,375        483  0.999935
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,398     2,000      1,268,000        639  0.999968
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,375    1,433     1,708        300,541        308  0.999900
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,166   1,417    1,463     1,708      1,323,000        466  0.999967
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,470     1,584         59,583        238  0.006123
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,458    1,482     1,584         75,959        269  0.007333
