                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None   1,000,000   1,166   1,375    1,333     1,416         81,141        134       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW   1,000,000   1,208   1,375    1,347     1,417        112,542        155  0.999967
                    libc_gettime_clock       MONOTONIC   1,000,000   1,000   1,000    1,347     2,000        129,000        510  0.999870
                               instant            None   1,000,000   1,208   1,375    1,349     1,417         91,000        152  0.999935
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW   1,000,000   1,167   1,375    1,360     1,584        102,625        194  0.999937
     plat_apple::gettime_nsec_np_clock       MONOTONIC   1,000,000   1,000   1,000    1,358     2,000         92,000        499  0.999697
                    libc_gettime_clock   MONOTONIC_RAW   1,000,000   1,208   1,375    1,388     1,625        142,667        234  0.999968
                    libc_gettime_clock      UPTIME_RAW   1,000,000   1,166   1,417    1,465     1,666      1,127,375      1,166  0.999967
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME   1,000,000   1,166   1,458    1,422     1,500         29,167        114  0.008622
                    libc_gettime_clock  THREAD_CPUTIME   1,000,000   1,167   1,500    1,452     1,542         43,500        152  0.009373
