                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,416    1,423     1,541        377,687        194       ---
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,424     2,000        935,000        610  0.999609
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,458    1,433     1,542         64,292        221  0.999936
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,430     2,000         96,000        538  1.000360
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,458    1,441     1,542         43,958        173  1.000000
                               instant            None  10,000,000   1,208   1,458    1,446     1,542        134,125        273  0.999902
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,458    1,465     1,750         67,000        309  1.000000
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,459    1,514     1,750      1,329,709        503  0.999968
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,519     1,666        107,458        196  0.018944
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,516     1,625        122,917        368  0.006718
