                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                    libc_gettime_clock       MONOTONIC     100,000   7,790   8,900   95,151     9,100     64,016,182  1,835,344  0.999924
                   plat_x86_64::rdtscp            None     100,000   7,780   8,880   94,233     9,060     58,018,476  1,797,639       ---
                    libc_gettime_clock       MONOTONIC     100,000   7,840   8,890   92,242     9,080     65,017,502  1,828,330  0.999990
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,550   9,650    9,747     9,860        197,110      2,691  0.005611
                    libc_gettime_clock       MONOTONIC     100,000   7,789   8,910   95,100     9,120     65,018,222  1,804,418  0.999990
                    libc_gettime_clock       MONOTONIC     100,000   8,080   8,900   95,854     9,110     65,016,373  1,811,197  0.999915
                               instant            None     100,000   8,070   8,900   95,415     9,110     65,016,293  1,813,492  0.999880
                    libc_gettime_clock       MONOTONIC     100,000   7,790   8,900   94,689     9,100     68,017,743  1,813,682  0.999982
                   plat_x86_64::rdtscp            None     100,000   7,769   8,879   94,536     9,069     62,016,373  1,836,700       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,790   8,880   94,491     9,070     64,018,924  1,849,376  0.999925
                               instant            None     100,000   8,040   8,880   96,175     9,060     62,019,042  1,834,824  0.999783
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,860   8,890   93,988     9,080     66,017,494  1,817,451  0.999998
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,550   9,650    9,764     9,860        154,080      2,989  0.004269
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,190   8,890   94,974     9,080     58,026,262  1,825,576  1.000016
                    libc_gettime_clock       MONOTONIC     100,000   7,840   8,890   96,324     9,090     66,023,422  1,860,357  0.999991
                    libc_gettime_clock       MONOTONIC     100,000   7,840   8,880   95,301     9,070     64,033,002  1,844,324  0.999932
                   plat_x86_64::rdtscp            None     100,000   8,049   8,879   93,218     9,059     65,017,075  1,796,484       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,810   8,890   95,288     9,070     62,019,993  1,839,496  1.000016
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,570   9,640    9,724     9,820        159,960      2,391  0.001630
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,800   8,890   93,797     9,080     62,018,083  1,822,370  0.999983
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,570   9,640    9,787     9,840        191,220      3,809  0.001911
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,800   9,630    9,666     9,810         38,050        531  0.001085
