               fnname    nsamples    min  50th%  95th%   mean  stddev
               ------    --------    ---  -----  -----   ----  ------
              instant  10,000,000   1041   1209   1417   1251     268
              cputime  10,000,000   1000   1000   2000   1436     593
            monotonic  10,000,000   1000   1000   2000   1248     551
        monotonic_raw  10,000,000   1041   1209   1375   1237     233
   mach_absolute_time  10,000,000   1041   1208   1375   1238     266
           uptime_raw  10,000,000   1041   1209   1416   1250     239
   nsec_np_uptime_raw  10,000,000   1041   1209   1542   1265     259
      nsec_np_cputime  10,000,000   1000   1000   2000   1441     602
    nsec_np_monotonic  10,000,000   1000   1000   2000   1259     484
nsec_np_monotonic_raw  10,000,000   1041   1209   1375   1238     262
