                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None  10,000,000   1,166   1,416    1,411     1,541        286,550        206       ---
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW  10,000,000   1,208   1,417    1,414     1,541        165,917        178  0.999967
     plat_apple::gettime_nsec_np_clock       MONOTONIC  10,000,000   1,000   1,000    1,412     2,000         58,000        542  0.999934
                    libc_gettime_clock       MONOTONIC  10,000,000   1,000   1,000    1,412     2,000        179,000        571  0.999580
                               instant            None  10,000,000   1,208   1,458    1,436     1,542      1,687,000        600  0.999870
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW  10,000,000   1,208   1,458    1,451     1,667        248,334        457  0.999933
                    libc_gettime_clock   MONOTONIC_RAW  10,000,000   1,208   1,458    1,458     1,750      1,662,916        757  0.999934
                    libc_gettime_clock      UPTIME_RAW  10,000,000   1,208   1,458    1,489     1,750         78,167        289  0.999936
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,505     1,625         67,000        353  0.007448
                    libc_gettime_clock  THREAD_CPUTIME  10,000,000   1,250   1,500    1,519     1,667         58,125        248  0.007893
