                                fnname          clock     nsamples     min  perc50        mean  perc95            max      stddev        drift
                                ------          -----     --------     ---  ------        ----  ------            ---      ------        -----
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,973   1,000   1,000     273,844   2,000  1,043,356,000  16,475,966     0.999997
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375       6,528   1,625     94,891,875     503,406     0.999998
                    libc_gettime_clock     UPTIME_RAW      100,000   1,208   1,416       7,313   1,666    121,426,958     635,196     1.000000
     plat_apple::gettime_nsec_np_clock THREAD_CPUTIME      100,000   1,291   1,500       1,587   1,625         27,292         809     0.000017
     plat_apple::gettime_nsec_np_clock THREAD_CPUTIME      100,000   1,291   1,375       1,491   1,542         40,000         603     0.000037
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,417      17,729   1,667    292,813,500   1,829,650     0.999997
                    libc_gettime_clock      MONOTONIC       99,915   1,000   1,000     858,390   2,000  1,077,237,000  29,111,538     0.999958
                    libc_gettime_clock     UPTIME_RAW      100,000   1,208   1,416      21,548   1,666    698,334,667   2,674,274     0.999998
                    libc_gettime_clock      MONOTONIC       99,984   1,000   1,000     182,340   2,000  1,029,405,000  12,808,941     0.999964
                    libc_gettime_clock     UPTIME_RAW      100,000   1,208   1,416      18,885   1,667    283,770,250   1,725,792     1.000000
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,971   1,000   1,000     328,211   2,000  1,604,502,000  18,323,403     1.000001
     plat_apple::gettime_nsec_np_clock  MONOTONIC_RAW      100,000   1,208   1,375      20,938   1,667    680,581,083   2,613,667     0.999997
     plat_apple::gettime_nsec_np_clock  MONOTONIC_RAW      100,000   1,208   1,375      21,173   1,667    728,381,375   2,581,412     0.999994
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,375      23,391   1,667    313,603,167   2,077,789     1.000000
                    libc_gettime_clock     UPTIME_RAW      100,000   1,208   1,416      23,508   1,667    723,068,750   2,677,671     1.000000
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,951   1,000   1,000     514,870   2,000  1,272,954,000  22,548,599     0.999996
                               instant           None      100,000   1,208   1,333      26,231   1,625    532,873,416   2,580,606     0.999990
                               instant           None      100,000   1,208   1,375      26,557   1,459    691,929,417   2,791,857     1.000000
                    libc_gettime_clock THREAD_CPUTIME      100,000   1,291   1,417       1,647   1,834         36,833         846     0.004176
                               instant           None      100,000   1,208   1,333      26,625   1,625    670,445,042   2,740,409     0.999871
     plat_apple::gettime_nsec_np_clock THREAD_CPUTIME      100,000   1,291   1,459       1,603   1,625         17,958         845     0.000022
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,334      27,440   1,625    524,201,292   2,401,419     1.000000
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,375      27,763   1,666    461,979,375   2,438,135     1.000000
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,291      27,785   1,624    470,806,784   2,367,046          ---
                    libc_gettime_clock      MONOTONIC       99,996   1,000   1,000      65,296   2,000  1,184,569,000   6,956,570     0.999943
                    libc_gettime_clock      MONOTONIC       99,955   1,000   1,000     477,323   2,000  1,399,701,000  21,545,227     0.999971
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      28,450   1,667    450,658,750   2,417,008     0.999995
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,333      28,505   5,708    452,341,079   2,472,382          ---
                               instant           None      100,000   1,208   1,292      28,840   1,625    501,065,208   2,604,458     0.999983
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,940   1,000   1,000     618,424   2,000  1,033,350,000  24,439,361     0.999998
                    libc_gettime_clock      MONOTONIC       99,806   1,000   1,000   1,949,845   2,000  1,126,568,000  43,921,982     1.000081
                               instant           None      100,000   1,208   1,375      28,871   1,625    386,191,875   2,287,568     0.999931
     plat_apple::gettime_nsec_np_clock THREAD_CPUTIME      100,000   1,291   1,500       1,596   1,625         38,750         793     0.000052
                               instant           None      100,000   1,208   1,375      30,617   1,625    337,601,417   2,340,858     1.000000
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,971   1,000   1,000     313,180   2,000  1,000,221,000  17,156,631     1.000003
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,417      30,474   5,709    327,689,000   2,423,332     1.000000
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      30,656   1,625    519,140,584   2,633,241     0.999997
                    libc_gettime_clock      MONOTONIC       99,949   1,000   1,000     557,815   5,000  1,207,112,000  23,390,201     0.999948
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      29,386   1,666    451,112,583   2,474,443     0.999998
                    libc_gettime_clock      MONOTONIC       99,827   1,000   1,000   1,745,846   2,000  1,086,859,000  41,563,995     1.000003
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,846   1,000   1,000   1,569,115   5,000  1,049,721,000  39,359,286     0.999998
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,375      31,220   5,708    270,857,750   2,345,743          ---
                    libc_gettime_clock      MONOTONIC       99,940   1,000   1,000     639,294   2,000  1,319,354,000  25,069,312     0.999956
     plat_apple::gettime_nsec_np_clock  MONOTONIC_RAW      100,000   1,208   1,416      28,684   5,708    361,205,875   2,279,314     0.999992
                               instant           None      100,000   1,208   1,292      30,025   1,625    683,324,500   2,918,019     0.999967
                    libc_gettime_clock      MONOTONIC       99,966   1,000   1,000     357,140   2,000  1,383,997,000  18,728,467     1.000021
     plat_apple::gettime_nsec_np_clock      MONOTONIC       99,927   1,000   1,000     743,097   2,000  1,417,136,000  27,144,863     0.999998
                               instant           None      100,000   1,208   1,292      32,228   1,625    600,086,792   3,008,152     0.999933
                    libc_gettime_clock      MONOTONIC       99,793   1,000   1,000   2,121,667   5,000  1,045,580,000  45,785,374     0.999979
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,375      32,299   1,625    360,679,880   2,442,757          ---
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,333      32,791   1,667    497,945,909   2,748,866          ---
                               instant           None      100,000   1,208   1,334      32,888   1,667    593,777,083   2,987,607     0.999935
                               instant           None      100,000   1,208   1,375      32,896   2,209    394,108,541   2,464,404     0.999970
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,375      32,929   1,625    434,234,539   2,497,199          ---
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      32,938   1,667    317,465,083   2,350,470     1.000000
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      32,964   1,625    457,333,292   2,646,086     1.000000
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,416      32,887   5,667    480,154,166   2,647,157     1.000000
                               instant           None      100,000   1,208   1,375      31,387   1,625    364,906,750   2,299,915     1.000000
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,375      33,075   1,666    424,260,747   2,616,863          ---
                    libc_gettime_clock  MONOTONIC_RAW      100,000   1,208   1,375      33,230   5,750    431,506,500   2,634,068     1.000000
                    libc_gettime_clock     UPTIME_RAW      100,000   1,208   1,375      33,167   1,667    338,190,000   2,457,187     0.999998
     plat_apple::gettime_nsec_np_clock  MONOTONIC_RAW      100,000   1,208   1,375      31,663   1,667    653,257,542   2,902,792     1.000000
                               instant           None      100,000   1,208   1,375      33,574   5,708    263,278,625   2,317,336     0.999966
                               instant           None      100,000   1,208   1,292      33,124   1,667    283,763,000   2,295,251     0.999969
                    libc_gettime_clock      MONOTONIC       99,882   1,000   1,000   1,166,860   6,000  1,486,774,000  34,167,260     0.999972
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,375      33,374   1,625    511,051,638   2,756,492          ---
                    libc_gettime_clock THREAD_CPUTIME      100,000   1,291   1,500       1,778   4,042         46,125         994     0.010006
                    libc_gettime_clock      MONOTONIC       99,784   1,000   1,000   2,152,690   6,000  1,135,303,000  46,149,398     0.999845
     plat_apple::gettime_nsec_np_clock THREAD_CPUTIME      100,000   1,291   1,416       1,607   1,625         53,083         884     0.000029
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,375      32,366   1,666    292,272,667   2,305,735     1.000000
                               instant           None      100,000   1,208   1,333      32,122   1,625    429,681,417   2,651,155     0.999964
  plat_apple::mach_absolute_time_ticks           None      100,000   1,208   1,291      33,772   1,666    565,986,204   2,809,421          ---
     plat_apple::gettime_nsec_np_clock     UPTIME_RAW      100,000   1,208   1,375      33,692   1,709    595,254,083   2,864,768     0.999999
     plat_apple::gettime_nsec_np_clock  MONOTONIC_RAW      100,000   1,208   1,375      32,038   1,667    355,913,208   2,423,443     0.999997
