                                fnname    nsamples     min  perc50     mean    perc95            max     stddev
                                ------    --------     ---  ------     ----    ------            ---     ------
                          instant_secs  10,000,000   1,208   1,500    1,439     1,625        164,250        222
    plat_apple::nsec_np_monotonic_secs  10,000,000   1,000   1,000    1,464     2,000         64,000        505
   plat_apple::mach_absolute_time_secs  10,000,000   1,166   1,583    1,472     1,625         56,916        179
plat_apple::nsec_np_monotonic_raw_secs  10,000,000   1,208   1,583    1,475     1,625         68,417        183
   plat_apple::nsec_np_uptime_raw_secs  10,000,000   1,167   1,583    1,488     1,625         54,500        199
                        monotonic_secs  10,000,000   1,000   1,000    1,480     2,000         90,000        520
           plat_apple::uptime_raw_secs  10,000,000   1,166   1,583    1,491     1,625        184,667        200
                    monotonic_raw_secs  10,000,000   1,208   1,583    1,497     1,625      1,086,708        414
      plat_apple::nsec_np_cputime_secs  10,000,000   1,000   4,000   12,017     7,000      8,437,000    112,046
                          cputime_secs  10,000,000   1,000   4,000   12,045     6,000     25,295,000    112,815
