                                fnname    nsamples     min  perc50     mean    perc95            max     stddev
                                ------    --------     ---  ------     ----    ------            ---     ------
                          instant_secs  10,000,000   1,208   1,541    1,445     1,625      3,445,917      1,120
   plat_apple::mach_absolute_time_secs  10,000,000   1,166   1,541    1,464     1,583        923,833        354
    plat_apple::nsec_np_monotonic_secs  10,000,000   1,000   1,000    1,469     2,000         70,000        512
   plat_apple::nsec_np_uptime_raw_secs  10,000,000   1,166   1,583    1,477     1,625      4,258,375      1,371
plat_apple::nsec_np_monotonic_raw_secs  10,000,000   1,166   1,583    1,478     1,625        746,500        297
                        monotonic_secs  10,000,000   1,000   1,000    1,486     2,000        178,000        514
           plat_apple::uptime_raw_secs  10,000,000   1,208   1,583    1,497     1,625      3,497,958      1,126
                    monotonic_raw_secs  10,000,000   1,208   1,583    1,499     1,625      3,540,083      1,166
      plat_apple::nsec_np_cputime_secs  10,000,000   1,125   1,708    1,726     2,166         64,375        275
                          cputime_secs  10,000,000   1,000   3,000   12,020     6,000     17,375,000    114,590
